K1 ;K2;K3;K4;K5
Licences;BA_EXL007_Trudvang;.;.;.
Licences;BA_EXL007_Trudvang;Agreements;.;.
Licences;BA_EXL007_Trudvang;Agreements;Commercial;.
Licences;BA_EXL007_Trudvang;Agreements;Ownership;.
Licences;BA_EXL007_Trudvang;Authorities;.;.
Licences;BA_EXL007_Trudvang;Authorities;MPE;.
Licences;BA_EXL007_Trudvang;Authorities;NPD;.
Licences;BA_EXL007_Trudvang;Authorities;PSA;.
Licences;BA_EXL007_Trudvang;Authorities;Other authorities;.
Licences;BA_EXL007_Trudvang;Financial;.;.
Licences;BA_EXL007_Trudvang;Financial;AFE;.
Licences;BA_EXL007_Trudvang;Financial;WPB;.
Licences;BA_EXL007_Trudvang;Financial;Cash calls;.
Licences;BA_EXL007_Trudvang;Financial;Estimates;.
Licences;BA_EXL007_Trudvang;Financial;Insurance;.
Licences;BA_EXL007_Trudvang;Financial;Lease accounting;.
Licences;BA_EXL007_Trudvang;Financial;Joint interest billing;.
Licences;BA_EXL007_Trudvang;Financial;RNB;.
Licences;BA_EXL007_Trudvang;Financial;Annual status report;.
Licences;BA_EXL007_Trudvang;General information;.;.
Licences;BA_EXL007_Trudvang;General information;Miscellaneous;.
Licences;BA_EXL007_Trudvang;General information;Miscellaneous;Deleted documents
Licences;BA_EXL007_Trudvang;General information;Miscellaneous;To be deleted
Licences;BA_EXL007_Trudvang;General information;3rd party information;.
Licences;BA_EXL007_Trudvang;General information;4th party information;.
Licences;BA_EXL007_Trudvang;General information;4th party information;Publications
Licences;BA_EXL007_Trudvang;General information;5th party information;.
Licences;BA_EXL007_Trudvang;General information;5th party information;Press releases
Licences;BA_EXL007_Trudvang;HSEQ;.;.
Licences;BA_EXL007_Trudvang;HSEQ;Audits;.
Licences;BA_EXL007_Trudvang;HSEQ;Incidents;.
Licences;BA_EXL007_Trudvang;HSEQ;Plans and policies;.
Licences;BA_EXL007_Trudvang;HSEQ;Statistics;.
Licences;BA_EXL007_Trudvang;HSEQ;Studies;.
Licences;BA_EXL007_Trudvang;Limited;.;.
Licences;BA_EXL007_Trudvang;Limited;Operator - Partner only;.
Licences;BA_EXL007_Trudvang;Limited;Operator only;.
Licences;BA_EXL007_Trudvang;Meetings;.;.
Licences;BA_EXL007_Trudvang;Procurement;.;.
Licences;BA_EXL007_Trudvang;Procurement;Administration;.
Licences;BA_EXL007_Trudvang;Procurement;Confidential;.
Licences;BA_EXL007_Trudvang;Projects;.;.
Licences;BA_EXL007_Trudvang;Projects;Development projects;.
Licences;BA_EXL007_Trudvang;Projects;Other;.
Licences;BA_EXL007_Trudvang;Strategies and plans;.;.
Licences;BA_EXL007_Trudvang;Strategies and plans;Long term;.
Licences;BA_EXL007_Trudvang;Strategies and plans;Short term;.
Licences;BA_EXL007_Trudvang;Reporting;.;.
Licences;BA_EXL007_Trudvang;Reporting;Monthly reports;.
Licences;BA_EXL007_Trudvang;Reporting;HSE;.
Licences;BA_EXL007_Trudvang;Reporting;Projects;.
Licences;BA_EXL007_Trudvang;Reporting;Production;.
Licences;BA_EXL007_Trudvang;Reporting;Subsurface;.
Licences;BA_EXL007_Trudvang;Subsurface;.;.
Licences;BA_EXL007_Trudvang;Subsurface;Geology and geophysics;.
Licences;BA_EXL007_Trudvang;Subsurface;Reservoir;.
Licences;BA_EXL007_Trudvang;Subsurface;Seismic;.
Licences;BA_EXL007_Trudvang;Subsurface;Wells;.
Licences;BA_EXL007_Trudvang;Subsurface;Common database;.
