K1 ;K2;K3;K4;K5
Licences;PL1264;.;.;.
Licences;PL1264;Agreements;.;.
Licences;PL1264;Agreements;Commercial;.
Licences;PL1264;Agreements;Ownership;.
Licences;PL1264;Authorities;.;.
Licences;PL1264;Authorities;MPE;.
Licences;PL1264;Authorities;NPD;.
Licences;PL1264;Authorities;PSA;.
Licences;PL1264;Authorities;Other authorities;.
Licences;PL1264;Financial;.;.
Licences;PL1264;Financial;AFE;.
Licences;PL1264;Financial;WPB;.
Licences;PL1264;Financial;Cash calls;.
Licences;PL1264;Financial;Estimates;.
Licences;PL1264;Financial;Insurance;.
Licences;PL1264;Financial;Lease accounting;.
Licences;PL1264;Financial;Joint interest billing;.
Licences;PL1264;Financial;RNB;.
Licences;PL1264;Financial;Annual status report;.
Licences;PL1264;General information;.;.
Licences;PL1264;General information;Miscellaneous;.
Licences;PL1264;General information;Miscellaneous;Deleted documents
Licences;PL1264;General information;Miscellaneous;To be deleted
Licences;PL1264;General information;3rd party information;.
Licences;PL1264;General information;4th party information;.
Licences;PL1264;General information;4th party information;Publications
Licences;PL1264;General information;5th party information;.
Licences;PL1264;General information;5th party information;Press releases
Licences;PL1264;HSEQ;.;.
Licences;PL1264;HSEQ;Audits;.
Licences;PL1264;HSEQ;Incidents;.
Licences;PL1264;HSEQ;Plans and policies;.
Licences;PL1264;HSEQ;Statistics;.
Licences;PL1264;HSEQ;Studies;.
Licences;PL1264;Limited;.;.
Licences;PL1264;Limited;Operator - Partner only;.
Licences;PL1264;Limited;Operator only;.
Licences;PL1264;Meetings;.;.
Licences;PL1264;Procurement;.;.
Licences;PL1264;Procurement;Administration;.
Licences;PL1264;Procurement;Confidential;.
Licences;PL1264;Projects;.;.
Licences;PL1264;Projects;Development projects;.
Licences;PL1264;Projects;Other;.
Licences;PL1264;Strategies and plans;.;.
Licences;PL1264;Strategies and plans;Long term;.
Licences;PL1264;Strategies and plans;Short term;.
Licences;PL1264;Reporting;.;.
Licences;PL1264;Reporting;Monthly reports;.
Licences;PL1264;Reporting;HSE;.
Licences;PL1264;Reporting;Projects;.
Licences;PL1264;Reporting;Production;.
Licences;PL1264;Reporting;Subsurface;.
Licences;PL1264;Subsurface;.;.
Licences;PL1264;Subsurface;Geology and geophysics;.
Licences;PL1264;Subsurface;Reservoir;.
Licences;PL1264;Subsurface;Seismic;.
Licences;PL1264;Subsurface;Wells;.
Licences;PL1264;Subsurface;Common database;.
