K1 ;K2;K3;K4;K5
Licences;PL1257;.;.;.
Licences;PL1257;Agreements;.;.
Licences;PL1257;Agreements;Commercial;.
Licences;PL1257;Agreements;Ownership;.
Licences;PL1257;Authorities;.;.
Licences;PL1257;Authorities;MPE;.
Licences;PL1257;Authorities;NPD;.
Licences;PL1257;Authorities;PSA;.
Licences;PL1257;Authorities;Other authorities;.
Licences;PL1257;Financial;.;.
Licences;PL1257;Financial;AFE;.
Licences;PL1257;Financial;WPB;.
Licences;PL1257;Financial;Cash calls;.
Licences;PL1257;Financial;Estimates;.
Licences;PL1257;Financial;Insurance;.
Licences;PL1257;Financial;Lease accounting;.
Licences;PL1257;Financial;Joint interest billing;.
Licences;PL1257;Financial;RNB;.
Licences;PL1257;Financial;Annual status report;.
Licences;PL1257;General information;.;.
Licences;PL1257;General information;Miscellaneous;.
Licences;PL1257;General information;Miscellaneous;Deleted documents
Licences;PL1257;General information;Miscellaneous;To be deleted
Licences;PL1257;General information;3rd party information;.
Licences;PL1257;General information;4th party information;.
Licences;PL1257;General information;4th party information;Publications
Licences;PL1257;General information;5th party information;.
Licences;PL1257;General information;5th party information;Press releases
Licences;PL1257;HSEQ;.;.
Licences;PL1257;HSEQ;Audits;.
Licences;PL1257;HSEQ;Incidents;.
Licences;PL1257;HSEQ;Plans and policies;.
Licences;PL1257;HSEQ;Statistics;.
Licences;PL1257;HSEQ;Studies;.
Licences;PL1257;Limited;.;.
Licences;PL1257;Limited;Operator - Partner only;.
Licences;PL1257;Limited;Operator only;.
Licences;PL1257;Meetings;.;.
Licences;PL1257;Procurement;.;.
Licences;PL1257;Procurement;Administration;.
Licences;PL1257;Procurement;Confidential;.
Licences;PL1257;Projects;.;.
Licences;PL1257;Projects;Development projects;.
Licences;PL1257;Projects;Other;.
Licences;PL1257;Strategies and plans;.;.
Licences;PL1257;Strategies and plans;Long term;.
Licences;PL1257;Strategies and plans;Short term;.
Licences;PL1257;Reporting;.;.
Licences;PL1257;Reporting;Monthly reports;.
Licences;PL1257;Reporting;HSE;.
Licences;PL1257;Reporting;Projects;.
Licences;PL1257;Reporting;Production;.
Licences;PL1257;Reporting;Subsurface;.
Licences;PL1257;Subsurface;.;.
Licences;PL1257;Subsurface;Geology and geophysics;.
Licences;PL1257;Subsurface;Reservoir;.
Licences;PL1257;Subsurface;Seismic;.
Licences;PL1257;Subsurface;Wells;.
Licences;PL1257;Subsurface;Common database;.
