K1 ;K2;K3;K4;K5
Licences;AMI_Grosbeak;.;.;.
Licences;AMI_Grosbeak;Agreements;.;.
Licences;AMI_Grosbeak;Agreements;Commercial;.
Licences;AMI_Grosbeak;Agreements;Ownership;.
Licences;AMI_Grosbeak;Authorities;.;.
Licences;AMI_Grosbeak;Authorities;MPE;.
Licences;AMI_Grosbeak;Authorities;NPD;.
Licences;AMI_Grosbeak;Authorities;PSA;.
Licences;AMI_Grosbeak;Authorities;Other authorities;.
Licences;AMI_Grosbeak;Financial;.;.
Licences;AMI_Grosbeak;Financial;AFE;.
Licences;AMI_Grosbeak;Financial;WPB;.
Licences;AMI_Grosbeak;Financial;Cash calls;.
Licences;AMI_Grosbeak;Financial;Estimates;.
Licences;AMI_Grosbeak;Financial;Insurance;.
Licences;AMI_Grosbeak;Financial;Lease accounting;.
Licences;AMI_Grosbeak;Financial;Joint interest billing;.
Licences;AMI_Grosbeak;Financial;RNB;.
Licences;AMI_Grosbeak;Financial;Annual status report;.
Licences;AMI_Grosbeak;General information;.;.
Licences;AMI_Grosbeak;General information;Miscellaneous;.
Licences;AMI_Grosbeak;General information;Miscellaneous;Deleted documents
Licences;AMI_Grosbeak;General information;Miscellaneous;To be deleted
Licences;AMI_Grosbeak;General information;3rd party information;.
Licences;AMI_Grosbeak;General information;4th party information;.
Licences;AMI_Grosbeak;General information;4th party information;Publications
Licences;AMI_Grosbeak;General information;5th party information;.
Licences;AMI_Grosbeak;General information;5th party information;Press releases
Licences;AMI_Grosbeak;HSEQ;.;.
Licences;AMI_Grosbeak;HSEQ;Audits;.
Licences;AMI_Grosbeak;HSEQ;Incidents;.
Licences;AMI_Grosbeak;HSEQ;Plans and policies;.
Licences;AMI_Grosbeak;HSEQ;Statistics;.
Licences;AMI_Grosbeak;HSEQ;Studies;.
Licences;AMI_Grosbeak;Limited;.;.
Licences;AMI_Grosbeak;Limited;Operator - Partner only;.
Licences;AMI_Grosbeak;Limited;Operator only;.
Licences;AMI_Grosbeak;Meetings;.;.
Licences;AMI_Grosbeak;Procurement;.;.
Licences;AMI_Grosbeak;Procurement;Administration;.
Licences;AMI_Grosbeak;Procurement;Confidential;.
Licences;AMI_Grosbeak;Projects;.;.
Licences;AMI_Grosbeak;Projects;Development projects;.
Licences;AMI_Grosbeak;Projects;Other;.
Licences;AMI_Grosbeak;Strategies and plans;.;.
Licences;AMI_Grosbeak;Strategies and plans;Long term;.
Licences;AMI_Grosbeak;Strategies and plans;Short term;.
Licences;AMI_Grosbeak;Reporting;.;.
Licences;AMI_Grosbeak;Reporting;Monthly reports;.
Licences;AMI_Grosbeak;Reporting;HSE;.
Licences;AMI_Grosbeak;Reporting;Projects;.
Licences;AMI_Grosbeak;Reporting;Production;.
Licences;AMI_Grosbeak;Reporting;Subsurface;.
Licences;AMI_Grosbeak;Subsurface;.;.
Licences;AMI_Grosbeak;Subsurface;Geology and geophysics;.
Licences;AMI_Grosbeak;Subsurface;Reservoir;.
Licences;AMI_Grosbeak;Subsurface;Seismic;.
Licences;AMI_Grosbeak;Subsurface;Wells;.
Licences;AMI_Grosbeak;Subsurface;Common database;.
