K1 ;K2;K3;K4;K5
Licences;PL318D;.;.;.
Licences;PL318D;Agreements;.;.
Licences;PL318D;Agreements;Commercial;.
Licences;PL318D;Agreements;Ownership;.
Licences;PL318D;Authorities;.;.
Licences;PL318D;Authorities;MPE;.
Licences;PL318D;Authorities;NPD;.
Licences;PL318D;Authorities;PSA;.
Licences;PL318D;Authorities;Other authorities;.
Licences;PL318D;Financial;.;.
Licences;PL318D;Financial;AFE;.
Licences;PL318D;Financial;WPB;.
Licences;PL318D;Financial;Cash calls;.
Licences;PL318D;Financial;Estimates;.
Licences;PL318D;Financial;Insurance;.
Licences;PL318D;Financial;Lease accounting;.
Licences;PL318D;Financial;Joint interest billing;.
Licences;PL318D;Financial;RNB;.
Licences;PL318D;Financial;Annual status report;.
Licences;PL318D;General information;.;.
Licences;PL318D;General information;Miscellaneous;.
Licences;PL318D;General information;Miscellaneous;Deleted documents
Licences;PL318D;General information;Miscellaneous;To be deleted
Licences;PL318D;General information;3rd party information;.
Licences;PL318D;General information;4th party information;.
Licences;PL318D;General information;4th party information;Publications
Licences;PL318D;General information;5th party information;.
Licences;PL318D;General information;5th party information;Press releases
Licences;PL318D;HSEQ;.;.
Licences;PL318D;HSEQ;Audits;.
Licences;PL318D;HSEQ;Incidents;.
Licences;PL318D;HSEQ;Plans and policies;.
Licences;PL318D;HSEQ;Statistics;.
Licences;PL318D;HSEQ;Studies;.
Licences;PL318D;Limited;.;.
Licences;PL318D;Limited;Operator - Partner only;.
Licences;PL318D;Limited;Operator only;.
Licences;PL318D;Meetings;.;.
Licences;PL318D;Procurement;.;.
Licences;PL318D;Procurement;Administration;.
Licences;PL318D;Procurement;Confidential;.
Licences;PL318D;Projects;.;.
Licences;PL318D;Projects;Development projects;.
Licences;PL318D;Projects;Other;.
Licences;PL318D;Strategies and plans;.;.
Licences;PL318D;Strategies and plans;Long term;.
Licences;PL318D;Strategies and plans;Short term;.
Licences;PL318D;Reporting;.;.
Licences;PL318D;Reporting;Monthly reports;.
Licences;PL318D;Reporting;HSE;.
Licences;PL318D;Reporting;Projects;.
Licences;PL318D;Reporting;Production;.
Licences;PL318D;Reporting;Subsurface;.
Licences;PL318D;Subsurface;.;.
Licences;PL318D;Subsurface;Geology and geophysics;.
Licences;PL318D;Subsurface;Reservoir;.
Licences;PL318D;Subsurface;Seismic;.
Licences;PL318D;Subsurface;Wells;.
Licences;PL318D;Subsurface;Common database;.
