K1 ;K2;K3;K4;K5
Licences;PL767;.;.;.
Licences;PL767;Agreements;.;.
Licences;PL767;Agreements;Commercial;.
Licences;PL767;Agreements;Ownership;.
Licences;PL767;Authorities;.;.
Licences;PL767;Authorities;MPE;.
Licences;PL767;Authorities;NPD;.
Licences;PL767;Authorities;PSA;.
Licences;PL767;Authorities;Other authorities;.
Licences;PL767;Financial;.;.
Licences;PL767;Financial;AFE;.
Licences;PL767;Financial;WPB;.
Licences;PL767;Financial;Cash calls;.
Licences;PL767;Financial;Estimates;.
Licences;PL767;Financial;Insurance;.
Licences;PL767;Financial;Lease accounting;.
Licences;PL767;Financial;Joint interest billing;.
Licences;PL767;Financial;RNB;.
Licences;PL767;Financial;Annual status report;.
Licences;PL767;General information;.;.
Licences;PL767;General information;Miscellaneous;.
Licences;PL767;General information;Miscellaneous;Deleted documents
Licences;PL767;General information;Miscellaneous;To be deleted
Licences;PL767;General information;3rd party information;.
Licences;PL767;General information;4th party information;.
Licences;PL767;General information;4th party information;Publications
Licences;PL767;General information;5th party information;.
Licences;PL767;General information;5th party information;Press releases
Licences;PL767;HSEQ;.;.
Licences;PL767;HSEQ;Audits;.
Licences;PL767;HSEQ;Incidents;.
Licences;PL767;HSEQ;Plans and policies;.
Licences;PL767;HSEQ;Statistics;.
Licences;PL767;HSEQ;Studies;.
Licences;PL767;Limited;.;.
Licences;PL767;Limited;Operator - Partner only;.
Licences;PL767;Limited;Operator only;.
Licences;PL767;Meetings;.;.
Licences;PL767;Procurement;.;.
Licences;PL767;Procurement;Administration;.
Licences;PL767;Procurement;Confidential;.
Licences;PL767;Projects;.;.
Licences;PL767;Projects;Development projects;.
Licences;PL767;Projects;Other;.
Licences;PL767;Strategies and plans;.;.
Licences;PL767;Strategies and plans;Long term;.
Licences;PL767;Strategies and plans;Short term;.
Licences;PL767;Reporting;.;.
Licences;PL767;Reporting;Monthly reports;.
Licences;PL767;Reporting;HSE;.
Licences;PL767;Reporting;Projects;.
Licences;PL767;Reporting;Production;.
Licences;PL767;Reporting;Subsurface;.
Licences;PL767;Subsurface;.;.
Licences;PL767;Subsurface;Geology and geophysics;.
Licences;PL767;Subsurface;Reservoir;.
Licences;PL767;Subsurface;Seismic;.
Licences;PL767;Subsurface;Wells;.
Licences;PL767;Subsurface;Common database;.
Licences;PL1194;.;.;.
Licences;PL1194;Agreements;.;.
Licences;PL1194;Agreements;Commercial;.
Licences;PL1194;Agreements;Ownership;.
Licences;PL1194;Authorities;.;.
Licences;PL1194;Authorities;MPE;.
Licences;PL1194;Authorities;NPD;.
Licences;PL1194;Authorities;PSA;.
Licences;PL1194;Authorities;Other authorities;.
Licences;PL1194;Financial;.;.
Licences;PL1194;Financial;AFE;.
Licences;PL1194;Financial;WPB;.
Licences;PL1194;Financial;Cash calls;.
Licences;PL1194;Financial;Estimates;.
Licences;PL1194;Financial;Insurance;.
Licences;PL1194;Financial;Lease accounting;.
Licences;PL1194;Financial;Joint interest billing;.
Licences;PL1194;Financial;RNB;.
Licences;PL1194;Financial;Annual status report;.
Licences;PL1194;General information;.;.
Licences;PL1194;General information;Miscellaneous;.
Licences;PL1194;General information;Miscellaneous;Deleted documents
Licences;PL1194;General information;Miscellaneous;To be deleted
Licences;PL1194;General information;3rd party information;.
Licences;PL1194;General information;4th party information;.
Licences;PL1194;General information;4th party information;Publications
Licences;PL1194;General information;5th party information;.
Licences;PL1194;General information;5th party information;Press releases
Licences;PL1194;HSEQ;.;.
Licences;PL1194;HSEQ;Audits;.
Licences;PL1194;HSEQ;Incidents;.
Licences;PL1194;HSEQ;Plans and policies;.
Licences;PL1194;HSEQ;Statistics;.
Licences;PL1194;HSEQ;Studies;.
Licences;PL1194;Limited;.;.
Licences;PL1194;Limited;Operator - Partner only;.
Licences;PL1194;Limited;Operator only;.
Licences;PL1194;Meetings;.;.
Licences;PL1194;Procurement;.;.
Licences;PL1194;Procurement;Administration;.
Licences;PL1194;Procurement;Confidential;.
Licences;PL1194;Projects;.;.
Licences;PL1194;Projects;Development projects;.
Licences;PL1194;Projects;Other;.
Licences;PL1194;Strategies and plans;.;.
Licences;PL1194;Strategies and plans;Long term;.
Licences;PL1194;Strategies and plans;Short term;.
Licences;PL1194;Reporting;.;.
Licences;PL1194;Reporting;Monthly reports;.
Licences;PL1194;Reporting;HSE;.
Licences;PL1194;Reporting;Projects;.
Licences;PL1194;Reporting;Production;.
Licences;PL1194;Reporting;Subsurface;.
Licences;PL1194;Subsurface;.;.
Licences;PL1194;Subsurface;Geology and geophysics;.
Licences;PL1194;Subsurface;Reservoir;.
Licences;PL1194;Subsurface;Seismic;.
Licences;PL1194;Subsurface;Wells;.
Licences;PL1194;Subsurface;Common database;.
